athlete_id,athlete_display_name,stat,line,season_avg,season_std,games_played,games_over,hit_rate_season,hit_rate_L5,hit_rate_L10,hit_rate_home,hit_rate_away,prob_empirical,prob_poisson,prob_normal,prob_ensemble,confidence,edge_direction,edge_strength
4433643,Mackenzie Holmes,assists,5.5,0.5714285714285714,0.7464200272921789,21,0,0.0,0.0,0.0,0.0,0.0,0.0,2.9705877115440003e-05,2.0153265888182133e-11,9.901965756235297e-06,High,UNDER,Strong
4433643,Mackenzie Holmes,assists,6.5,0.5714285714285714,0.7464200272921789,21,0,0.0,0.0,0.0,0.0,0.0,0.0,2.399069155796142e-06,9.893373064511652e-16,7.996897189284932e-07,High,UNDER,Strong
4433643,Mackenzie Holmes,assists,7.5,0.5714285714285714,0.7464200272921789,21,0,0.0,0.0,0.0,0.0,0.0,0.0,1.69941975417054e-07,8.284937799434985e-21,5.6647325139020763e-08,High,UNDER,Strong
4433643,Mackenzie Holmes,assists,8.5,0.5714285714285714,0.7464200272921789,21,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0718605389976367e-08,1.1756538123944536e-26,3.572868463325456e-09,High,UNDER,Strong
4433643,Mackenzie Holmes,PRA,12.5,6.761904761904762,6.54908208762695,21,4,0.19047619047619047,0.0,0.0,0.2222222222222222,0.16666666666666666,0.19047619047619047,0.021243462296025358,0.19046939303833516,0.13406301527018366,High,UNDER,Strong
4433643,Mackenzie Holmes,PRA,15.5,6.761904761904762,6.54908208762695,21,2,0.09523809523809523,0.0,0.0,0.2222222222222222,0.0,0.09523809523809523,0.001718369469532207,0.09106140767209464,0.06267262412657403,High,UNDER,Strong
4433643,Mackenzie Holmes,PRA,18.5,6.761904761904762,6.54908208762695,21,2,0.09523809523809523,0.0,0.0,0.2222222222222222,0.0,0.09523809523809523,8.393078273506e-05,0.03654031763155034,0.043954114550793545,High,UNDER,Strong
4433643,Mackenzie Holmes,PRA,20.5,6.761904761904762,6.54908208762695,21,1,0.047619047619047616,0.0,0.0,0.1111111111111111,0.0,0.047619047619047616,8.760458754230061e-06,0.017965248817480677,0.02186435229842751,High,UNDER,Strong
4433643,Mackenzie Holmes,PRA,22.5,6.761904761904762,6.54908208762695,21,1,0.047619047619047616,0.0,0.0,0.1111111111111111,0.0,0.047619047619047616,7.650040210016764e-07,0.008128383933369513,0.018582732185479376,High,UNDER,Strong
4433643,Mackenzie Holmes,PRA,25.5,6.761904761904762,6.54908208762695,21,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4556914582540075e-08,0.0021103442966209688,0.0007034529511785172,High,UNDER,Strong
4433643,Mackenzie Holmes,PRA,28.5,6.761904761904762,6.54908208762695,21,0,0.0,0.0,0.0,0.0,0.0,0.0,1.9887849504710396e-10,0.0004512844632688807,0.00015042822071579192,High,UNDER,Strong
4433643,Mackenzie Holmes,PRA,30.5,6.761904761904762,6.54908208762695,21,0,0.0,0.0,0.0,0.0,0.0,0.0,9.608206050249587e-12,0.00014467952607541735,4.8226511894541135e-05,High,UNDER,Strong
4433643,Mackenzie Holmes,PRA,32.5,6.761904761904762,6.54908208762695,21,0,0.0,0.0,0.0,0.0,0.0,0.0,4.097279875684246e-13,4.246746569614906e-05,1.415582203529235e-05,High,UNDER,Strong
4433643,Mackenzie Holmes,PRA,35.5,6.761904761904762,6.54908208762695,21,0,0.0,0.0,0.0,0.0,0.0,0.0,2.899898538326291e-15,5.716986678529852e-06,1.9056622271432501e-06,High,UNDER,Strong
4433643,Mackenzie Holmes,PRA,38.5,6.761904761904762,6.54908208762695,21,0,0.0,0.0,0.0,0.0,0.0,0.0,1.608587307928119e-17,6.292753911659916e-07,2.0975846372735916e-07,High,UNDER,Strong
4433643,Mackenzie Holmes,PRA,40.5,6.761904761904762,6.54908208762695,21,0,0.0,0.0,0.0,0.0,0.0,0.0,4.442384890579497e-19,1.2915313380938278e-07,4.305104460327567e-08,High,UNDER,Strong
4433690,Holly Winterburn,points,8.5,2.2857142857142856,1.7288756430151326,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000614247297672569,0.00016256454260026574,0.00025893728009094495,High,UNDER,Strong
4433690,Holly Winterburn,points,10.5,2.2857142857142856,1.7288756430151326,14,0,0.0,0.0,0.0,0.0,0.0,0.0,2.7890775005123898e-05,1.0109152964099927e-06,9.633896767177964e-06,High,UNDER,Strong
4433690,Holly Winterburn,points,12.5,2.2857142857142856,1.7288756430151326,14,0,0.0,0.0,0.0,0.0,0.0,0.0,9.051013842091474e-07,1.730892818735857e-09,3.022774256759611e-07,High,UNDER,Strong
4433690,Holly Winterburn,points,14.5,2.2857142857142856,1.7288756430151326,14,0,0.0,0.0,0.0,0.0,0.0,0.0,2.1999905230928936e-08,8.038185788734358e-13,7.333569683169271e-09,High,UNDER,Strong
4433690,Holly Winterburn,points,15.5,2.2857142857142856,1.7288756430151326,14,0,0.0,0.0,0.0,0.0,0.0,0.0,3.113190225212646e-09,1.0587597870128574e-14,1.037733604270172e-09,High,UNDER,Strong
4433690,Holly Winterburn,points,16.5,2.2857142857142856,1.7288756430151326,14,0,0.0,0.0,0.0,0.0,0.0,0.0,4.150880815388778e-10,1.0032468376663972e-16,1.3836272728785387e-10,High,UNDER,Strong
4433690,Holly Winterburn,points,17.5,2.2857142857142856,1.7288756430151326,14,0,0.0,0.0,0.0,0.0,0.0,0.0,5.231804541467618e-11,6.834462096438245e-19,1.7439348699374127e-11,High,UNDER,Strong
4433690,Holly Winterburn,points,18.5,2.2857142857142856,1.7288756430151326,14,0,0.0,0.0,0.0,0.0,0.0,0.0,6.2520090814440585e-12,3.3454281723492235e-21,2.0840030282631622e-12,High,UNDER,Strong
4433690,Holly Winterburn,points,19.5,2.2857142857142856,1.7288756430151326,14,0,0.0,0.0,0.0,0.0,0.0,0.0,7.102302744386834e-13,1.1761247328577683e-23,2.367434248168149e-13,High,UNDER,Strong
4433690,Holly Winterburn,points,20.5,2.2857142857142856,1.7288756430151326,14,0,0.0,0.0,0.0,0.0,0.0,0.0,7.688412506664296e-14,2.968545370483046e-26,2.5628041688890882e-14,High,UNDER,Strong
4433690,Holly Winterburn,points,22.5,2.2857142857142856,1.7288756430151326,14,0,0.0,0.0,0.0,0.0,0.0,0.0,7.863458329670798e-16,6.989513559756201e-32,2.621152776556933e-16,High,UNDER,Strong
4433690,Holly Winterburn,points,24.5,2.2857142857142856,1.7288756430151326,14,0,0.0,0.0,0.0,0.0,0.0,0.0,6.792752382007052e-18,4.3576823421404407e-38,2.2642507940023506e-18,High,UNDER,Strong
4433690,Holly Winterburn,points,26.5,2.2857142857142856,1.7288756430151326,14,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0211506180113156e-20,7.182691118236839e-45,1.6737168726704386e-20,High,UNDER,Strong
4433690,Holly Winterburn,points,28.5,2.2857142857142856,1.7288756430151326,14,0,0.0,0.0,0.0,0.0,0.0,0.0,3.2117941433404037e-22,3.1261918965471283e-52,1.0705980477801346e-22,High,UNDER,Strong
4433690,Holly Winterburn,rebounds,2.5,0.6428571428571429,0.9287827316640651,14,1,0.07142857142857142,0.0,0.0,0.2,0.0,0.07142857142857142,0.027560414008443047,0.02277470960226869,0.040587898346427724,High,UNDER,Strong
4433690,Holly Winterburn,rebounds,3.5,0.6428571428571429,0.9287827316640651,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004279348058103306,0.0010482047402760185,0.001775850932793108,High,UNDER,Strong
4433690,Holly Winterburn,rebounds,4.5,0.6428571428571429,0.9287827316640651,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005377481732272723,1.641432994753039e-05,0.0001847208343916009,High,UNDER,Strong
4433690,Holly Winterburn,rebounds,5.5,0.6428571428571429,0.9287827316640651,14,0,0.0,0.0,0.0,0.0,0.0,0.0,5.6685330886068406e-05,8.494815194028437e-08,1.8923426346002896e-05,High,UNDER,Strong
4433690,Holly Winterburn,rebounds,6.5,0.6428571428571429,0.9287827316640651,14,0,0.0,0.0,0.0,0.0,0.0,0.0,5.142883492367968e-06,1.429318576456925e-10,1.7143421414085379e-06,High,UNDER,Strong
4433690,Holly Winterburn,rebounds,7.5,0.6428571428571429,0.9287827316640651,14,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0939342559956753e-07,7.741861505194769e-14,1.3646450100606085e-07,High,UNDER,Strong
4433690,Holly Winterburn,rebounds,8.5,0.6428571428571429,0.9287827316640651,14,0,0.0,0.0,0.0,0.0,0.0,0.0,2.9023688091392306e-08,1.3413266611572278e-17,9.674562701601857e-09,High,UNDER,Strong
4433690,Holly Winterburn,rebounds,9.5,0.6428571428571429,0.9287827316640651,14,0,0.0,0.0,0.0,0.0,0.0,0.0,1.8544211265226524e-09,7.401569556659751e-22,6.181403755077975e-10,High,UNDER,Strong
4433690,Holly Winterburn,rebounds,10.5,0.6428571428571429,0.9287827316640651,14,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0782539306673941e-10,1.296860543261011e-26,3.5941797688913144e-11,High,UNDER,Strong
4433690,Holly Winterburn,rebounds,11.5,0.6428571428571429,0.9287827316640651,14,0,0.0,0.0,0.0,0.0,0.0,0.0,5.7516164361993094e-12,7.199137113979356e-32,1.917205478733103e-12,High,UNDER,Strong
4433690,Holly Winterburn,rebounds,12.5,0.6428571428571429,0.9287827316640651,14,0,0.0,0.0,0.0,0.0,0.0,0.0,2.8337840242037186e-13,1.264047276554389e-37,9.445946747345729e-14,High,UNDER,Strong
4433690,Holly Winterburn,assists,1.5,1.6428571428571428,1.9456912102680337,14,5,0.35714285714285715,0.4,0.3,0.6,0.2222222222222222,0.35714285714285715,0.4888011164132482,0.5292649675820033,0.4584029803793695,High,UNDER,Weak
4433690,Holly Winterburn,assists,2.5,1.6428571428571428,1.9456912102680337,14,3,0.21428571428571427,0.2,0.1,0.6,0.0,0.21428571428571427,0.22777388724588185,0.3297752474339435,0.2572782829885132,High,UNDER,Strong
4433690,Holly Winterburn,assists,3.5,1.6428571428571428,1.9456912102680337,14,2,0.14285714285714285,0.0,0.0,0.4,0.0,0.14285714285714285,0.08483040460660977,0.16991782738965233,0.13253512495113498,High,UNDER,Strong
